FLOOR,BEDROOM,BATHROOM,LAND AREA (sqft),ROAD ACCESS (ft),PROPERTY AGE,HAS_PARKING,HAS_BALCONY,HAS_GARDEN,HAS_MODULAR_KITCHEN,LOCATION_ENCODED,FACING_ENCODED,AREA_PER_BEDROOM,TOTAL_ROOMS,IS_NEW,CITY_TIER,LOCATION_PRICE_TIER,LOCATION_PREMIUM_RATIO
2.0,3.0,2.0,1095.2,14.0,10.0,1,0,0,0,14000000.0,7,365.06666666666666,5.0,0,2,1,0.4217844727694091
2.5,4.0,2.0,787.175,13.0,13.0,1,1,0,0,38452173.91304348,3,196.79375,6.0,0,3,2,1.1584664214821907
2.5,6.0,3.0,2806.45,14.0,32.0,1,0,0,0,54750000.0,0,467.7416666666666,9.0,0,3,2,1.6494785631517963
2.5,6.0,6.0,1095.2,13.0,5.0,1,0,0,1,27000000.0,4,182.53333333333333,12.0,0,3,1,0.8134414831981461
3.5,10.0,4.0,2087.725,15.0,5.0,1,0,1,0,33875000.0,7,208.7725,14.0,0,3,2,1.0205677867902667
2.5,4.0,4.0,787.175,10.0,22.0,1,1,0,1,29527777.777777776,7,196.79375,8.0,0,3,1,0.8895970130037338
2.5,5.0,4.0,787.175,13.0,8.0,1,0,0,0,25147058.82352941,7,157.435,9.0,0,3,1,0.7576170676845478
3.0,5.0,4.0,1711.25,16.5,8.0,1,0,0,0,32500000.0,6,342.25,9.0,0,2,2,0.9791425260718425
2.5,5.0,4.0,1437.45,13.0,14.0,1,0,0,0,38452173.91304348,5,287.49,9.0,0,3,2,1.1584664214821907
3.0,3.0,2.0,855.625,13.0,3.0,1,1,0,0,66750000.0,5,285.2083333333333,5.0,0,3,3,2.0110081112398612
2.5,5.0,4.0,1095.2,13.0,17.0,1,0,0,0,19000000.0,1,219.04,9.0,0,3,1,0.5724217844727695
2.5,4.0,5.0,2121.9500000000003,20.0,17.0,0,0,1,1,42730769.23076923,7,530.4875000000001,9.0,0,3,2,1.2873696407879491
2.5,5.0,3.0,1026.75,12.0,4.0,0,0,0,1,32333333.33333333,7,205.35,8.0,0,3,2,0.974121282348397
2.5,3.0,3.0,2053.5,15.0,13.0,1,0,0,0,44000000.0,0,684.5,6.0,0,3,2,1.3256083429895715
2.5,5.0,6.0,2190.4,13.0,4.0,1,0,0,0,47632203.38983051,3,438.08,11.0,0,3,2,1.4350374138303514
3.5,9.0,3.0,1369.0,12.0,6.0,1,1,0,0,31995000.0,1,152.11111111111111,12.0,0,3,2,0.9639281575898031
2.5,5.0,4.0,1095.2,13.0,8.0,1,0,0,0,17794117.647058822,0,219.04,9.0,0,3,1,0.5360916092972531
2.5,5.0,4.0,1369.0,13.0,8.0,1,0,0,0,33192307.69230769,0,273.8,9.0,0,3,2,1.0
3.0,4.0,4.0,1369.0,20.0,5.0,1,0,0,1,37750000.0,4,342.25,8.0,0,2,2,1.137311703360371
2.5,7.0,6.0,1437.45,13.0,2.0,1,1,0,0,38452173.91304348,7,205.35,13.0,1,3,2,1.1584664214821907
2.5,5.0,5.0,1437.45,16.0,6.0,1,1,0,0,47632203.38983051,4,287.49,10.0,0,3,2,1.4350374138303514
2.5,6.0,3.0,1711.25,10.0,8.0,1,1,1,0,22000000.0,4,285.2083333333333,9.0,0,3,1,0.6628041714947858
2.5,5.0,4.0,1026.75,20.0,6.0,1,0,0,0,27357142.85714286,7,205.35,9.0,0,3,1,0.8242012911769576
2.5,4.0,3.0,1095.2,13.0,5.0,1,0,0,0,39055555.55555555,2,273.8,7.0,0,3,2,1.176644779194026
3.0,10.0,8.0,2395.75,15.0,9.0,1,0,0,0,51359210.526315786,1,239.575,18.0,0,3,2,1.547322680978228
3.5,5.0,6.0,1369.0,26.0,18.0,1,0,1,0,41125000.0,0,273.8,11.0,0,3,2,1.2389918887601392
1.5,8.0,4.0,1026.75,13.0,3.0,1,0,0,0,22666666.666666668,0,128.34375,12.0,0,3,1,0.6828891463885671
2.5,6.0,5.0,1026.75,13.0,4.0,1,0,0,1,25147058.82352941,5,171.125,11.0,0,3,1,0.7576170676845478
3.5,5.0,4.0,1369.0,10.0,10.0,1,0,0,0,31995000.0,1,273.8,9.0,0,3,2,0.9639281575898031
2.5,5.0,3.0,1369.0,15.0,20.0,1,0,0,0,71416666.66666667,4,273.8,8.0,0,3,3,2.151602935496331
2.5,5.0,4.0,1471.675,14.0,17.0,1,1,0,1,51359210.526315786,2,294.335,9.0,0,3,2,1.547322680978228
2.0,7.0,4.0,2087.725,14.0,15.0,1,0,0,0,42730769.23076923,2,298.24642857142857,11.0,0,3,2,1.2873696407879491
2.5,4.0,4.0,1026.75,10.0,17.0,1,0,0,0,22000000.0,4,256.6875,8.0,0,3,1,0.6628041714947858
3.5,4.0,4.0,1711.25,16.0,2.0,1,1,1,0,41700000.0,1,427.8125,8.0,1,3,2,1.2563151796060257
2.5,6.0,3.0,1403.225,10.0,4.0,1,0,1,0,18500000.0,6,233.8708333333333,9.0,0,3,1,0.5573580533024335
3.5,5.0,3.0,1095.2,26.0,8.0,1,0,0,0,18325000.0,7,219.04,8.0,0,3,1,0.5520857473928158
2.5,3.0,3.0,1026.75,13.0,4.0,1,0,1,0,33960000.0,7,342.25,6.0,0,3,2,1.0231286210892239
2.5,5.0,4.0,1369.0,13.0,6.0,0,1,0,1,27500000.0,5,273.8,9.0,0,3,1,0.8285052143684821
3.5,6.0,3.0,1095.2,18.0,22.0,0,0,0,1,41000000.0,0,182.53333333333333,9.0,0,3,2,1.2352259559675551
2.5,4.0,4.0,1369.0,16.0,8.0,1,0,0,0,45833333.333333336,1,342.25,8.0,0,3,2,1.3808420239474704
3.5,5.0,3.0,2121.9500000000003,8.0,6.0,0,0,1,0,35000000.0,1,424.39,8.0,0,3,2,1.0544611819235228
3.0,8.0,8.0,1369.0,13.0,12.0,0,0,1,1,25642857.14285714,7,171.125,16.0,0,3,1,0.7725542128786625
2.5,5.0,5.0,1026.75,13.0,4.0,1,0,0,0,29527777.777777776,0,205.35,10.0,0,3,1,0.8895970130037338
2.5,5.0,4.0,1369.0,13.0,4.0,1,0,0,0,38452173.91304348,2,273.8,9.0,0,3,2,1.1584664214821907
1.0,2.0,2.0,1369.0,20.0,10.0,1,0,0,0,12500000.0,1,684.5,4.0,0,3,1,0.37659327925840097
2.5,5.0,4.0,1403.225,13.0,6.0,1,1,0,0,25147058.82352941,3,280.645,9.0,0,3,1,0.7576170676845478
2.5,5.0,5.0,1711.25,13.0,10.0,1,0,0,0,51359210.526315786,7,342.25,10.0,0,3,2,1.547322680978228
2.5,4.0,4.0,1369.0,23.0,3.0,1,1,1,1,22000000.0,0,342.25,8.0,0,1,1,0.6628041714947858
2.0,4.0,2.0,1369.0,20.0,17.0,1,0,0,0,15500000.0,1,342.25,6.0,0,3,1,0.4669756662804172
2.0,4.0,4.0,3251.375,12.5,13.0,1,0,0,0,51359210.526315786,1,812.84375,8.0,0,3,2,1.547322680978228
4.0,4.0,5.0,1369.0,13.0,4.0,1,1,0,1,39055555.55555555,5,342.25,9.0,0,3,2,1.176644779194026
2.5,5.0,4.0,1026.75,20.0,10.0,1,1,0,0,29527777.777777776,7,205.35,9.0,0,3,1,0.8895970130037338
2.5,5.0,5.0,2053.5,16.5,4.0,1,0,0,0,47632203.38983051,6,410.7,10.0,0,3,2,1.4350374138303514
2.5,4.0,4.0,1060.975,13.0,14.0,1,1,0,0,27357142.85714286,7,265.24375,8.0,0,3,1,0.8242012911769576
3.5,5.0,3.0,1095.2,13.0,17.0,1,0,0,0,29527777.777777776,0,219.04,8.0,0,3,1,0.8895970130037338
1.0,3.0,1.0,752.95,10.0,6.0,1,0,0,0,23333333.33333333,4,250.98333333333332,4.0,0,3,1,0.7029741212823484
2.5,5.0,4.0,1437.45,10.0,6.0,1,0,0,0,58000000.0,0,287.49,9.0,0,3,2,1.7473928157589804
2.5,5.0,4.0,1095.2,13.0,10.0,1,1,0,0,29527777.777777776,7,219.04,9.0,0,3,1,0.8895970130037338
1.0,2.0,1.0,1437.45,13.0,6.0,0,0,0,1,15666666.666666666,2,718.725,3.0,0,3,1,0.4719969100038625
2.0,9.0,4.0,1026.75,13.0,10.0,1,1,0,0,48750000.0,4,114.08333333333331,13.0,0,3,2,1.4687137891077637
2.5,4.0,4.0,3422.5,13.0,14.0,1,0,0,0,58000000.0,3,855.625,8.0,0,3,2,1.7473928157589804
2.5,4.0,5.0,1369.0,13.0,3.0,0,0,0,1,42962500.0,7,342.25,9.0,0,3,2,1.2943511008111241
2.5,6.0,3.0,1437.45,12.0,22.0,1,0,0,0,31995000.0,1,239.575,9.0,0,3,2,0.9639281575898031
2.5,5.0,3.0,787.175,20.0,14.0,1,1,0,0,20875000.0,4,157.435,8.0,0,3,1,0.6289107763615296
2.5,4.0,5.0,3764.75,20.0,4.0,1,0,0,0,43800000.0,0,941.1875,9.0,0,3,2,1.319582850521437
3.0,8.0,3.0,1026.75,15.0,6.0,1,0,0,0,27500000.0,0,128.34375,11.0,0,3,1,0.8285052143684821
2.5,5.0,4.0,1369.0,20.0,10.0,1,0,0,1,20250000.0,1,273.8,9.0,0,3,1,0.6100811123986096
2.5,4.0,4.0,1437.45,20.0,10.0,1,1,1,0,47632203.38983051,0,359.3625,8.0,0,3,2,1.4350374138303514
4.0,4.0,4.0,1026.75,12.0,3.0,1,0,0,0,40300000.0,0,256.6875,8.0,0,3,2,1.2141367323290848
2.5,4.0,4.0,1026.75,13.0,4.0,1,0,1,0,27000000.0,7,256.6875,8.0,0,3,1,0.8134414831981461
3.0,4.0,3.0,2121.9500000000003,13.0,12.0,0,0,0,0,42730769.23076923,2,530.4875000000001,7.0,0,3,2,1.2873696407879491
1.5,2.0,2.0,1026.75,12.0,4.0,1,0,0,0,23000000.0,2,513.375,4.0,0,3,1,0.6929316338354577
2.5,6.0,4.0,1813.925,16.0,4.0,1,0,1,0,29527777.777777776,0,302.3208333333333,10.0,0,3,1,0.8895970130037338
3.0,6.0,5.0,1779.7,13.0,3.0,1,1,0,0,29527777.777777776,2,296.6166666666667,11.0,0,3,1,0.8895970130037338
2.5,5.0,4.0,1369.0,13.0,17.0,0,1,0,0,22666666.666666668,4,273.8,9.0,0,3,1,0.6828891463885671
2.5,5.0,4.0,1711.25,13.0,5.0,1,0,0,1,32693333.33333333,1,342.25,9.0,0,3,2,0.984967168791039
3.5,5.0,4.0,1403.225,13.0,4.0,1,0,0,0,44153846.15384615,5,280.645,9.0,0,3,2,1.3302433371958287
2.5,4.0,4.0,1437.45,13.0,6.0,1,0,0,0,39055555.55555555,0,359.3625,8.0,0,3,2,1.176644779194026
2.5,3.0,4.0,2087.725,15.0,7.0,1,0,1,0,38452173.91304348,5,695.9083333333333,7.0,0,3,2,1.1584664214821907
3.0,5.0,4.0,1095.2,13.0,4.0,1,0,0,1,24000000.0,7,219.04,9.0,0,3,1,0.7230590961761298
2.5,5.0,3.0,787.175,13.0,4.0,1,0,0,0,17794117.647058822,6,157.435,8.0,0,3,1,0.5360916092972531
2.5,6.0,4.0,1711.25,16.0,5.0,1,0,0,0,28500000.0,1,285.2083333333333,10.0,0,3,1,0.8586326767091542
2.5,5.0,3.0,1026.75,10.0,22.0,1,0,0,0,21450000.0,4,205.35,8.0,0,3,1,0.646234067207416
2.5,6.0,4.0,2395.75,13.0,14.0,1,0,1,1,27269230.769230768,4,399.2916666666667,10.0,0,3,1,0.8215527230590962
1.0,4.0,4.0,1060.975,13.0,8.0,1,0,0,0,27269230.769230768,0,265.24375,8.0,0,3,1,0.8215527230590962
2.5,5.0,2.0,752.95,13.0,6.0,1,0,0,0,22600000.0,2,150.59,7.0,0,3,1,0.680880648899189
2.5,6.0,5.0,1711.25,13.0,8.0,1,0,0,0,34144444.44444445,2,285.2083333333333,11.0,0,3,2,1.02868546414317
1.5,4.0,1.0,1026.75,11.0,8.0,1,0,0,0,29527777.777777776,1,256.6875,5.0,0,3,1,0.8895970130037338
2.5,5.0,4.0,1026.75,13.0,8.0,1,0,0,0,48200000.0,0,205.35,9.0,0,3,2,1.4521436848203941
4.0,7.0,5.0,1060.975,10.0,12.0,0,0,0,0,24250000.0,7,151.56785714285712,12.0,0,3,1,0.7305909617612979
2.5,4.0,3.0,1060.975,16.0,8.0,1,0,0,0,25000000.0,2,265.24375,7.0,0,3,1,0.7531865585168019
2.5,9.0,4.0,1026.75,13.0,10.0,1,1,0,1,25147058.82352941,0,114.08333333333331,13.0,0,3,1,0.7576170676845478
2.5,6.0,5.0,1403.225,10.0,4.0,0,1,1,1,28160000.0,6,233.8708333333333,11.0,0,3,1,0.8483893395133257
2.5,3.0,4.0,1369.0,10.0,5.0,1,0,0,0,24000000.0,4,456.3333333333333,7.0,0,3,1,0.7230590961761298
2.5,3.0,4.0,1026.75,20.0,6.0,1,0,0,0,26000000.0,2,342.25,7.0,0,3,1,0.783314020857474
1.5,2.0,1.0,1026.75,13.0,5.0,1,0,1,0,22600000.0,4,513.375,3.0,0,3,1,0.680880648899189
2.5,5.0,4.0,1369.0,13.0,6.0,1,0,0,1,32693333.33333333,7,273.8,9.0,0,3,2,0.984967168791039
2.5,5.0,5.0,787.175,13.0,6.0,1,1,1,1,30500000.0,4,157.435,10.0,0,3,2,0.9188876013904984
2.5,5.0,4.0,2087.725,20.0,5.0,1,0,0,0,40300000.0,1,417.545,9.0,0,3,2,1.2141367323290848
2.5,6.0,3.0,1369.0,13.0,5.0,1,0,0,0,51359210.526315786,1,228.16666666666663,9.0,0,3,2,1.547322680978228
3.0,5.0,3.0,1129.425,13.0,12.0,1,0,0,0,33000000.0,2,225.885,8.0,0,3,2,0.9942062572421786
2.5,5.0,3.0,1026.75,18.0,9.0,1,0,0,0,32693333.33333333,7,205.35,8.0,0,3,2,0.984967168791039
2.5,6.0,5.0,1369.0,13.0,6.0,1,0,0,0,51359210.526315786,0,228.16666666666663,11.0,0,3,2,1.547322680978228
2.5,4.0,4.0,1711.25,15.0,12.0,1,0,0,0,47632203.38983051,7,427.8125,8.0,0,3,2,1.4350374138303514
2.5,6.0,5.0,1437.45,13.0,11.0,1,1,1,0,34144444.44444445,0,239.575,11.0,0,3,2,1.02868546414317
3.5,7.0,4.0,2772.225,10.0,23.0,1,0,0,0,77500000.0,0,396.0321428571429,11.0,0,3,3,2.334878331402086
1.0,2.0,1.0,1369.0,20.0,33.0,1,0,0,1,52071428.571428575,4,684.5,3.0,0,3,2,1.5687800033107104
3.5,8.0,3.0,1060.975,10.0,10.0,1,0,0,0,38428571.42857143,7,132.621875,11.0,0,3,2,1.157755338520113
2.5,4.0,3.0,2395.75,12.5,6.0,1,0,0,0,29527777.777777776,2,598.9375,7.0,0,3,1,0.8895970130037338
2.5,5.0,5.0,1369.0,12.0,3.0,1,1,0,1,73000000.0,7,273.8,10.0,0,3,3,2.1993047508690617
3.0,5.0,4.0,1369.0,12.0,6.0,1,0,0,1,29527777.777777776,7,273.8,9.0,0,3,1,0.8895970130037338
2.5,5.0,5.0,1369.0,13.0,6.0,1,0,0,0,45833333.333333336,1,273.8,10.0,0,3,2,1.3808420239474704
4.0,4.0,4.0,752.95,24.0,4.0,1,0,0,0,37833333.333333336,1,188.2375,8.0,0,2,2,1.1398223252220936
2.5,3.0,3.0,1026.75,26.0,9.0,1,0,0,0,32500000.0,5,342.25,6.0,0,3,2,0.9791425260718425
2.5,7.0,4.0,1095.2,16.0,6.0,0,0,1,0,33333333.33333333,6,156.45714285714286,11.0,0,3,2,1.004248744689069
1.0,2.0,1.0,1095.2,20.0,10.0,0,0,0,0,24375000.0,0,547.6,3.0,0,3,1,0.7343568945538819
2.5,5.0,3.0,1026.75,12.0,11.0,1,0,0,0,38452173.91304348,0,205.35,8.0,0,3,2,1.1584664214821907
2.5,6.0,4.0,2053.5,4.0,9.0,0,0,0,0,61500000.0,7,342.25,10.0,0,3,3,1.8528389339513327
3.0,6.0,6.0,1369.0,13.0,9.0,1,1,0,0,51359210.526315786,4,228.16666666666663,12.0,0,3,2,1.547322680978228
2.5,5.0,3.0,1403.225,20.0,9.0,1,1,0,0,29527777.777777776,2,280.645,8.0,0,3,1,0.8895970130037338
2.5,5.0,4.0,1369.0,13.0,8.0,1,0,0,0,33192307.69230769,4,273.8,9.0,0,3,2,1.0
2.5,5.0,4.0,4141.224999999999,16.0,11.0,1,0,0,0,87200000.0,4,828.2449999999999,9.0,0,3,3,2.6271147161066053
2.5,4.0,5.0,1711.25,14.0,17.0,1,0,0,0,42730769.23076923,0,427.8125,9.0,0,3,2,1.2873696407879491
2.5,7.0,3.0,1369.0,13.0,24.0,0,0,0,0,52125000.0,7,195.57142857142856,10.0,0,3,2,1.5703939745075322
2.5,7.0,3.0,1711.25,13.0,8.0,1,1,1,0,25000000.0,4,244.4642857142857,10.0,0,2,1,0.7531865585168019
2.5,6.0,4.0,1026.75,10.0,12.0,1,1,0,0,27633333.33333333,0,171.125,10.0,0,3,1,0.8325222093472383
5.0,10.0,6.0,2429.975,12.0,6.0,0,1,0,1,38428571.42857143,1,242.9975,16.0,0,3,2,1.157755338520113
2.5,4.0,4.0,1026.75,12.0,9.0,1,0,0,0,20000000.0,0,256.6875,8.0,0,3,1,0.6025492468134416
