LOCATION,PRICE,FACING,FLOOR,BEDROOM,BATHROOM,LAND AREA (sqft),ROAD ACCESS (ft),PROPERTY AGE,HAS_PARKING,HAS_BALCONY,HAS_GARDEN,HAS_MODULAR_KITCHEN,LOCATION_ENCODED
"Harisiddhi, Lalitpur",27000000.0,south,2.5,3.0,4.0,1026.75,20.0,12.0,1,0,0,0,27357142.85714286
"Imadol, Lalitpur",22500000.0,west,2.5,5.0,4.0,1026.75,20.0,10.0,1,1,0,0,29527777.777777776
"Imadol, Lalitpur",27500000.0,south,2.5,5.0,5.0,1403.225,13.0,10.0,0,0,0,0,29527777.777777776
"Mulpani, Kathmandu",16000000.0,east,2.5,5.0,3.0,752.95,12.0,24.0,0,1,0,1,20250000.0
"Bafal, Kathmandu",47000000.0,west,2.5,6.0,3.0,2395.75,14.0,10.0,1,1,0,1,39055555.55555555
"Imadol, Lalitpur",25000000.0,south,2.5,4.0,4.0,1060.9750000000001,13.0,13.0,1,1,0,0,29527777.777777776
"Imadol, Lalitpur",25000000.0,west,2.5,4.0,3.0,1095.2,13.0,13.0,1,1,0,0,29527777.777777776
"Sanepa, Lalitpur",90000000.0,south,2.5,6.0,4.0,2464.2000000000003,13.0,3.0,1,1,0,0,66750000.0
"Khumaltar, Lalitpur",65000000.0,south-west,4.5,5.0,4.0,3080.25,13.0,3.0,1,1,0,0,44153846.15384615
"Sitapaila, Kathmandu",23000000.0,north,3.5,9.0,3.0,1369.0,12.0,6.0,1,1,0,0,31995000.0
"Lainchaur, Kathmandu",35000000.0,south,2.5,8.0,4.0,2738.0,8.0,9.0,1,1,1,0,35000000.0
"Greenhill City, Kathmandu",27000000.0,west,4.5,8.0,4.0,1369.0,11.0,6.0,1,1,0,1,27000000.0
"Sunakothi, Lalitpur",85000000.0,south,2.5,5.0,7.0,3080.25,20.0,10.0,1,1,1,0,44000000.0
"Hattiban, Lalitpur",70000000.0,north-west,2.5,5.0,4.0,1711.25,20.0,10.0,1,1,0,0,40300000.0
"Hattiban, Lalitpur",35000000.0,north-west,2.5,3.0,4.0,1129.425,22.0,10.0,1,1,1,0,40300000.0
"Kamalpokhari, Kathmandu",180000000.0,north,5.0,12.0,6.0,2498.4249999999997,13.0,3.0,1,1,0,1,180000000.0
"Lolang, Kathmandu",18000000.0,west,2.5,11.0,4.0,1026.75,10.0,22.0,1,1,0,0,18325000.0
"Dhapakhel, Lalitpur",25000000.0,north,2.0,6.0,3.0,1026.75,16.0,10.0,1,1,0,0,32500000.0
"Shantinagar, Kathmandu",45000000.0,south,2.0,9.0,4.0,1026.75,13.0,10.0,1,1,0,0,48750000.0
"Dakshindhoka, Kathmandu",26000000.0,north-east,2.5,3.0,4.0,1026.75,20.0,6.0,1,0,0,0,26000000.0
"Budhanilkantha, Kathmandu",34500000.0,west,2.5,6.0,5.0,1369.0,13.0,9.0,1,1,0,0,51359210.526315786
"Budhanilkantha, Kathmandu",37500000.0,south-west,2.0,6.0,5.0,1711.25,14.0,6.0,1,1,0,0,51359210.526315786
"Mhaipi, Kathmandu",42500000.0,north,2.5,4.0,4.0,1745.475,20.0,10.0,1,1,0,1,42500000.0
"Dadhikot, Bhaktapur",30000000.0,east,2.5,4.0,3.0,1711.25,10.0,7.0,1,1,1,0,29333333.333333332
"Mandikhatar, Kathmandu",65000000.0,north-east,2.5,6.0,3.0,2738.0,13.0,24.0,1,0,1,1,43173333.333333336
"Pasikot, Kathmandu",30000000.0,east,2.5,8.0,4.0,1437.45,14.0,24.0,1,0,0,1,32693333.333333332
"Lolang, Kathmandu",17500000.0,south-east,2.5,11.0,3.0,1026.75,12.0,12.0,1,0,0,1,18325000.0
"Satungal, Kathmandu",29500000.0,north-west,2.5,4.0,4.0,1437.45,13.0,10.0,1,0,0,0,24000000.0
"Dhapakhel, Lalitpur",43000000.0,north,3.0,6.0,4.0,2053.5,13.0,24.0,1,0,0,1,32500000.0
"Imadol, Lalitpur",31000000.0,east,2.5,6.0,5.0,1060.9750000000001,13.0,6.0,1,1,0,1,29527777.777777776
"Imadol, Lalitpur",45000000.0,south,3.0,7.0,7.0,2156.1749999999997,13.0,9.0,1,1,1,0,29527777.777777776
"Imadol, Lalitpur",26500000.0,south,2.5,5.0,4.0,1026.75,13.0,6.0,1,1,0,0,29527777.777777776
"Imadol, Lalitpur",29500000.0,south,2.5,5.0,4.0,1095.2,13.0,10.0,1,1,0,0,29527777.777777776
"Greenland Chowk, Kathmandu",37500000.0,south-east,2.0,5.0,4.0,1711.25,20.0,10.0,0,1,0,0,37500000.0
"Bhaisepati, Lalitpur",150000000.0,east,2.5,5.0,4.0,3422.5,13.0,10.0,1,0,1,0,47632203.38983051
"Italitar, Kathmandu",105000000.0,north-east,2.5,5.0,6.0,3764.75,20.0,7.0,1,1,0,0,105000000.0
"Tikathali, Lalitpur",25500000.0,south,2.5,4.0,4.0,1026.75,13.0,24.0,1,1,0,1,25147058.82352941
"Sanagaun, Lalitpur",22500000.0,south,2.5,5.0,3.0,787.175,20.0,14.0,1,1,0,0,20875000.0
"Balkumari, Lalitpur",105000000.0,north,2.5,6.0,5.0,4107.0,20.0,24.0,1,1,0,1,67125000.0
"Tikathali, Lalitpur",28500000.0,east,2.5,9.0,4.0,1026.75,13.0,10.0,1,1,0,1,25147058.82352941
"Maharajgunj, Kathmandu",125000000.0,east,2.5,4.0,4.0,3422.5,20.0,24.0,1,1,1,0,87200000.0
"Deuwa Chowk, Kathmandu",60000000.0,west,2.5,8.0,5.0,2053.5,13.0,14.0,1,1,0,1,60000000.0
"Kageshwori, Kathmandu",16500000.0,east,2.0,3.0,3.0,752.95,13.0,12.0,0,0,0,1,16500000.0
"Budhanilkantha, Kathmandu",33500000.0,north,3.0,10.0,5.0,1369.0,13.0,24.0,1,1,0,1,51359210.526315786
"SuryadaRs.han Height, Kathmandu",35000000.0,south-east,3.5,6.0,4.0,1711.25,11.0,7.0,1,1,0,1,33750000.0
"Wasik, Kathmandu",27500000.0,west,2.0,9.0,4.0,1711.25,13.0,12.0,1,1,0,1,34250000.0
"Bojepokhari, Lalitpur",22500000.0,north,2.5,7.0,3.0,1026.75,13.0,10.0,1,0,0,0,25500000.0
"Imadol, Lalitpur",25000000.0,east,3.0,7.0,6.0,1026.75,13.0,6.0,1,1,0,0,29527777.777777776
"Sanagaun, Lalitpur",28000000.0,east,3.0,6.0,6.0,1813.925,15.0,9.0,1,1,0,0,20875000.0
"Imadol, Lalitpur",26000000.0,south,3.0,5.0,3.0,752.95,13.0,6.0,1,1,0,0,29527777.777777776
"Imadol, Lalitpur",28000000.0,west,3.0,4.0,4.0,1026.75,13.0,10.0,1,1,0,0,29527777.777777776
"Imadol, Lalitpur",27000000.0,west,2.5,5.0,4.0,1095.2,13.0,10.0,1,1,0,0,29527777.777777776
"Old Baneshwor, Kathmandu",29000000.0,south,4.5,22.0,8.0,1095.2,6.0,10.0,0,1,0,1,28500000.0
"Imadol, Lalitpur",32500000.0,north-west,3.0,5.0,5.0,1129.425,16.0,7.0,1,1,0,1,29527777.777777776
"Harisiddhi, Lalitpur",27000000.0,south,2.5,3.0,4.0,1026.75,20.0,14.0,1,1,0,0,27357142.85714286
"Deuwa chowk, Kathmandu",65000000.0,south,2.5,4.0,5.0,2395.75,14.0,17.0,1,1,0,0,48200000.0
"Imadol, Lalitpur",27500000.0,south-west,3.5,7.0,4.0,1026.75,13.0,6.0,1,1,0,0,29527777.777777776
"Thamel, Kathmandu",23000000.0,east,3.0,5.0,4.0,787.175,10.0,6.0,1,1,0,1,39000000.0
"Budhanilkantha, Kathmandu",57500000.0,south-east,2.5,4.0,4.0,1779.7,13.0,6.0,1,1,0,0,51359210.526315786
"Sitapaila, Kathmandu",50000000.0,west,2.5,4.0,4.0,1369.0,13.0,14.0,1,1,1,0,31995000.0
"Mid Baneshwor, Kathmandu",17500000.0,south,2.5,5.0,5.0,1026.75,14.0,3.0,1,1,1,0,73833333.33333333
"Hepali Height, Kathmandu",46500000.0,west,3.0,6.0,6.0,1471.675,13.0,7.0,1,1,1,0,41700000.0
"Sanepa, Lalitpur",35000000.0,south-east,3.0,3.0,2.0,855.625,13.0,3.0,1,1,0,0,66750000.0
"Old Baneshwor, Kathmandu",28000000.0,east,6.0,22.0,8.0,1095.2,6.0,22.0,0,1,0,1,28500000.0
"Omsatiya, Rupandehi",22000000.0,east,2.5,4.0,4.0,1369.0,23.0,3.0,1,1,1,1,22000000.0
"Baluwatar, Kathmandu",76000000.0,south,3.5,8.0,10.0,2053.5,10.0,6.0,1,1,1,0,54750000.0
"Manamaiju, Kathmandu",73500000.0,south-east,3.5,4.0,3.0,3114.475,13.0,12.0,1,1,1,0,49375000.0
"Sainbu, Lalitpur",35000000.0,south-east,3.0,7.0,4.0,1369.0,18.0,7.0,1,1,0,0,50000000.0
"Thali, Kathmandu",16000000.0,east,2.5,5.0,3.0,752.95,12.0,22.0,1,1,0,1,16000000.0
"Balkot, Bhaktapur",28000000.0,west,3.0,5.0,5.0,1129.425,13.0,10.0,1,1,0,0,37750000.0
"Budhanilkantha, Kathmandu",40000000.0,west,3.0,10.0,4.0,1369.0,16.0,6.0,1,1,0,0,51359210.526315786
"Pasikot, Kathmandu",22500000.0,south,2.5,4.0,3.0,1095.2,20.0,12.0,1,1,0,1,32693333.333333332
"Bhaisepati, Lalitpur",29000000.0,south,2.5,4.0,3.0,1369.0,15.0,6.0,0,1,0,1,47632203.38983051
"Jyotinagar, Kathmandu",26500000.0,south,2.0,4.0,2.0,1026.75,20.0,7.0,1,1,0,0,30460000.0
"Bagdurbar, Kathmandu",30000000.0,south,4.5,6.0,6.0,1369.0,13.0,22.0,0,1,0,1,30000000.0
"Pepsicola, Kathmandu",55500000.0,south,3.5,6.0,6.0,2121.9500000000003,20.0,4.0,1,0,0,1,31833333.333333332
"Dillibazar, Kathmandu",140000000.0,south,4.5,28.0,7.0,4791.5,15.0,24.0,1,1,0,0,140000000.0
"Bijulibajar, Kathmandu",85000000.0,south-east,4.0,8.0,6.0,2053.5,12.0,12.0,1,1,0,1,85000000.0
"Sundarbasti, Kathmandu",33800000.0,east,2.5,4.0,3.0,1095.2,13.0,13.0,0,0,0,1,34144444.44444445
"Pepsicola, Kathmandu",29000000.0,north,2.5,5.0,5.0,1711.25,13.0,7.0,1,0,0,0,31833333.333333332
"Harisiddhi, Lalitpur",26000000.0,east,2.5,5.0,3.0,1095.2,13.0,7.0,1,0,0,0,27357142.85714286
"Ghattekulo, Kathmandu",32500000.0,east,3.5,6.0,3.0,1095.2,18.0,22.0,0,0,0,1,41000000.0
"Bhangal , Kathmandu",45000000.0,south-west,3.0,7.0,6.0,1745.475,13.0,16.0,1,0,0,1,27633333.333333332
"Nakhudole, Lalitpur",15500000.0,south,2.0,4.0,2.0,1437.45,4.0,10.0,1,0,0,1,24000000.0
"Baluwakhani, Kathmandu",27500000.0,west,2.5,6.0,4.0,1095.2,10.0,14.0,1,1,0,0,29250000.0
"Lele, Lalitpur",73000000.0,south-east,2.5,4.0,3.0,2190.4,20.0,14.0,1,1,1,1,73000000.0
"Syuchatar, Kathmandu",25000000.0,east,2.5,4.0,3.0,1711.25,16.0,17.0,0,1,0,1,26500000.0
"Kapan, Kathmandu",32000000.0,south-east,2.5,5.0,4.0,1369.0,13.0,4.0,1,0,0,0,27269230.769230768
"Khusibu Town Planning, Kathmandu",39000000.0,west,2.5,4.0,3.0,1369.0,26.0,17.0,0,0,0,1,39000000.0
"Imadol, Lalitpur",60000000.0,east,2.5,6.0,4.0,3080.25,13.0,17.0,1,1,1,0,29527777.777777776
"Nakhipot, Lalitpur",46000000.0,south-east,2.5,6.0,5.0,2395.75,13.0,7.0,1,1,0,0,34208333.333333336
"Sitapaila, Kathmandu",49500000.0,south-east,3.5,8.0,7.0,2806.45,12.0,14.0,1,1,0,0,31995000.0
"Imadol, Lalitpur",21500000.0,east,3.0,3.0,3.0,787.175,13.0,3.0,1,1,0,1,29527777.777777776
"Baluwakhani, Kathmandu",21500000.0,south-east,3.0,4.0,3.0,1026.75,12.0,17.0,1,1,0,1,29250000.0
"Mahadevtar, Kathmandu",60000000.0,south-west,3.5,5.0,4.0,3490.95,13.0,6.0,1,1,1,0,53250000.0
"Sampang Chowk, Lalitpur",38000000.0,north-east,2.5,7.0,4.0,1437.45,13.0,6.0,1,0,0,1,30500000.0
"Balambu, Kathmandu",27500000.0,south-east,2.5,5.0,4.0,1369.0,13.0,6.0,0,1,0,1,27500000.0
"Bhaisepati, Lalitpur",42500000.0,south,3.0,7.0,3.0,1711.25,20.0,6.0,1,1,0,1,47632203.38983051
"Makalbari, Kathmandu",27500000.0,south-east,3.0,8.0,3.0,1129.425,12.0,22.0,1,1,0,0,28750000.0
"Thaiba, Lalitpur",50000000.0,south,2.5,3.0,3.0,2053.5,20.0,4.0,1,1,1,1,39166666.666666664
"Icimod, Lalitpur",39000000.0,west,2.5,6.0,4.0,1471.675,13.0,7.0,1,1,0,0,34750000.0
"Imadol, Lalitpur",42500000.0,south,2.5,3.0,3.0,1369.0,14.0,6.0,1,1,0,0,29527777.777777776
"Tahachal, Kathmandu",56500000.0,north,2.5,4.0,5.0,1403.225,20.0,17.0,1,1,0,0,104333333.33333333
"Lasuntar, Kathmandu",31000000.0,east,2.5,4.0,3.0,1403.225,13.0,6.0,1,0,0,1,28000000.0
"Imadol, Lalitpur",45000000.0,south,2.5,4.0,3.0,2395.75,16.0,9.0,1,1,0,1,29527777.777777776
"Imadol, Lalitpur",42500000.0,south,2.5,3.0,3.0,1369.0,14.0,6.0,1,0,0,1,29527777.777777776
"Lubhu, Lalitpur",22000000.0,south,2.5,5.0,4.0,1026.75,13.0,6.0,1,0,0,0,22600000.0
"Imadol, Lalitpur",45000000.0,east,2.5,4.0,3.0,1437.45,13.0,14.0,1,1,0,0,29527777.777777776
"Thecho, Lalitpur",85000000.0,south,2.5,6.0,5.0,3182.925,12.0,7.0,1,1,0,0,45833333.333333336
"Nakhipot, Lalitpur",20000000.0,east,2.5,4.0,3.0,855.625,13.0,6.0,1,1,0,0,34208333.333333336
"Naxal, Kathmandu",55000000.0,west,2.5,3.0,3.0,1369.0,13.0,22.0,1,1,0,1,46500000.0
"Dhaksi, Kathmandu",36000000.0,east,2.5,7.0,7.0,4107.0,20.0,7.0,1,0,0,1,36000000.0
"Bafal, Kathmandu",37000000.0,north-east,2.5,4.0,3.0,1095.2,14.0,6.0,1,1,0,1,39055555.55555555
"Banasthali, Kathmandu",34000000.0,east,3.0,6.0,4.0,1369.0,13.0,14.0,1,1,1,0,43800000.0
"Budhanilkantha, Kathmandu",57500000.0,south,2.5,4.0,3.0,3080.25,12.0,7.0,1,1,1,0,51359210.526315786
"Chundevi, Kathmandu",67500000.0,north,2.5,5.0,5.0,2053.5,15.0,6.0,1,1,0,0,67500000.0
"Chabahil, Kathmandu",120000000.0,north,1.5,3.0,2.0,4107.0,16.0,22.0,1,1,1,1,120000000.0
"Thankot, Kathmandu",22000000.0,west,2.5,6.0,3.0,1711.25,10.0,4.0,1,1,1,0,17794117.647058822
"Sampang Chowk, Lalitpur",23000000.0,south,2.5,5.0,5.0,787.175,13.0,6.0,1,1,1,1,30500000.0
"Danchhi, Kathmandu",15000000.0,south,1.0,2.0,1.0,1060.9750000000001,10.0,22.0,1,0,0,1,15000000.0
"New Baneshwor, Kathmandu",16800000.0,east,3.5,3.0,3.0,376.475,20.0,33.0,0,0,0,0,16800000.0
"Mahadevsthan, Kathmandu",22000000.0,south,2.5,6.0,3.0,1711.25,10.0,8.0,1,1,1,0,22000000.0
"Pasikot, Kathmandu",31000000.0,east,2.5,5.0,3.0,1300.55,13.0,7.0,1,0,0,1,32693333.333333332
"Pasikot, Kathmandu",29900000.000000004,south-east,2.5,5.0,5.0,1369.0,13.0,6.0,1,1,0,1,32693333.333333332
"Gothatar, Kathmandu",21000000.0,south,2.5,5.0,3.0,1026.75,10.0,4.0,1,0,0,1,24375000.0
"Dharmasthali, Kathmandu",13000000.0,north-east,1.0,2.0,1.0,1437.45,13.0,6.0,0,0,0,1,15666666.666666666
"Dulal Gaun, Kathmandu",18500000.0,north,1.0,2.0,1.0,1779.7,16.0,33.0,1,0,0,1,18500000.0
"Narayanthan , Kathmandu",17000000.0,south,1.0,2.0,1.0,1369.0,20.0,33.0,1,0,0,1,52071428.571428575
"Kalanki, Kathmandu",60000000.0,west,5.0,1.0,1.0,1026.75,13.0,12.0,0,1,0,1,34900000.0
"Imadol, Lalitpur",19500000.0,south,2.5,5.0,4.0,1369.0,13.0,6.0,1,0,1,0,29527777.777777776
"Sainbu, Lalitpur",85000000.0,north-east,2.5,5.0,4.0,2498.4249999999997,17.0,6.0,1,0,1,0,50000000.0
"Saraswotinagar, Kathmandu",23000000.0,west,2.0,3.0,2.0,1026.75,27.0,6.0,1,0,0,0,31500000.0
"Mid Baneshwor, Kathmandu",104000000.0,north-west,2.5,5.0,3.0,5476.0,13.0,22.0,1,0,0,0,73833333.33333333
"Thecho, Lalitpur",32500000.0,north,2.5,5.0,5.0,1369.0,13.0,6.0,1,0,0,0,45833333.333333336
"Thecho, Lalitpur",26000000.0,south,2.5,4.0,3.0,1369.0,10.0,9.0,1,0,0,0,45833333.333333336
 Lalitpur,19000000.0,south,2.5,4.0,3.0,787.175,13.0,4.0,1,1,0,0,19000000.0
"Tandi, Chitwan",25000000.0,east,2.0,5.0,4.0,1369.0,13.0,33.0,1,0,1,0,25000000.0
"Rampur, Chitwan",13000000.0,east,2.0,5.0,4.0,1369.0,13.0,32.0,1,0,0,0,13000000.0
"Baluwatar, Kathmandu",68000000.0,east,2.5,6.0,3.0,2806.45,14.0,32.0,1,0,0,0,54750000.0
"Dhapasi, Kathmandu",15500000.0,south,1.0,4.0,2.0,752.95,15.0,5.0,1,0,0,0,38452173.91304348
"Tikathali, Lalitpur",22000000.0,south-east,2.5,6.0,5.0,1026.75,13.0,4.0,1,0,0,1,25147058.82352941
"Budhanilkantha, Kathmandu",34500000.0,east,2.5,6.0,3.0,1095.2,13.0,22.0,1,0,0,0,51359210.526315786
"Chhauni, Kathmandu",37000000.0,west,2.0,4.0,5.0,2053.5,12.0,17.0,1,0,0,0,34000000.0
"Dhapakhel, Lalitpur",38000000.0,south,3.5,6.0,4.0,1369.0,20.0,4.0,1,0,0,0,32500000.0
"Kapan, Kathmandu",31000000.0,south-east,2.0,6.0,6.0,1471.675,13.0,32.0,1,0,0,0,27269230.769230768
"Nakhipot, Lalitpur",33000000.0,south,2.5,6.0,4.0,1095.2,20.0,14.0,1,0,0,0,34208333.333333336
"Hattiban, Lalitpur",55000000.0,south,3.0,5.0,5.0,2395.75,20.0,5.0,1,0,0,0,40300000.0
"Basundhara, Kathmandu",38000000.0,south-east,3.5,5.0,4.0,1026.75,10.0,7.0,1,0,0,0,50125000.0
"Sukedhara, Kathmandu",38500000.0,south,2.5,4.0,4.0,1369.0,13.0,7.0,1,0,0,0,33192307.692307692
"Kapan, Kathmandu",25000000.0,west,2.5,6.0,4.0,1026.75,13.0,7.0,1,0,0,0,27269230.769230768
"Budhanilkantha, Kathmandu",34500000.0,west,2.5,6.0,5.0,1369.0,13.0,4.0,1,0,0,0,51359210.526315786
"Matatirtha, Kathmandu",12000000.0,north-east,1.5,2.0,2.0,1026.75,12.0,4.0,1,0,0,0,23000000.0
"Grande Hospital, Kathmandu",19000000.0,north,1.0,3.0,1.0,1095.2,10.0,8.0,1,0,1,0,28160000.0
"Ekatabasti, Kathmandu",31000000.0,east,2.5,6.0,4.0,1026.75,13.0,5.0,1,0,0,0,24666666.666666668
"Sitapaila, Kathmandu",23500000.0,south-east,2.5,3.0,3.0,752.95,13.0,7.0,1,0,0,1,31995000.0
"Pokhara, Kaski",20000000.0,south-east,2.0,3.0,2.0,787.175,13.0,4.0,1,0,0,0,59166666.666666664
"Birendra Chowk, Kathmandu",30500000.0,south,2.5,5.0,4.0,1437.45,13.0,2.0,1,0,0,0,30500000.0
"Kaushaltar, Bhaktapur",30000000.0,south,2.5,4.0,4.0,1026.75,12.0,4.0,1,0,0,0,30000000.0
"Imadol, Lalitpur",28000000.0,south,2.5,5.0,3.0,1095.2,15.0,4.0,1,0,0,0,29527777.777777776
"Nakkhu, Lalitpur",36000000.0,south-west,2.5,4.0,5.0,1403.225,13.0,5.0,0,0,1,1,33960000.0
"Lakeside, Kaski",85000000.0,south,4.0,10.0,8.0,2806.45,15.0,7.0,0,0,0,0,85000000.0
"Pasikot, Kathmandu",28500000.0,south-east,2.5,4.0,3.0,1095.2,13.0,8.0,1,0,0,0,32693333.333333332
"Imadol, Lalitpur",25000000.0,south,2.5,2.0,3.0,1060.9750000000001,14.0,7.0,1,0,0,0,29527777.777777776
"Pokhara, Kaski",37500000.0,west,2.5,7.0,5.0,1711.25,15.0,4.0,1,0,0,1,59166666.666666664
"Gajuri, Dhading",17800000.0,north,2.0,5.0,2.0,1026.75,32.0,5.0,1,0,0,0,17800000.0
"Shankhamul, Kathmandu",45000000.0,south-west,4.5,5.0,4.0,1437.45,13.0,8.0,0,0,0,0,52125000.0
"Bansbari, Kathmandu",10000000.0,north,1.0,3.0,1.0,1711.25,13.0,3.0,0,0,1,0,55545454.54545455
"Hattiban, Lalitpur",20000000.0,south-east,2.0,4.0,2.0,1026.75,14.0,3.0,1,0,0,0,40300000.0
"Imadol, Lalitpur",24000000.0,east,2.5,4.0,3.0,1095.2,13.0,2.0,1,0,0,0,29527777.777777776
"New Buspark, Kathmandu",83000000.0,north,4.5,34.0,34.0,2395.75,20.0,12.0,1,0,0,0,61500000.0
"Bhangal , Kathmandu",40000000.0,east,2.5,5.0,4.0,1711.25,20.0,7.0,1,0,0,0,27633333.333333332
"Dharmasthali, Kathmandu",13000000.0,west,1.0,3.0,1.0,1095.2,13.0,6.0,1,0,0,0,15666666.666666666
"Gongabu, Kathmandu",35000000.0,south,3.5,5.0,3.0,1369.0,12.0,6.0,1,0,0,0,38428571.428571425
"Hattiban, Lalitpur",55000000.0,north,2.5,5.0,4.0,2087.725,20.0,5.0,1,0,0,0,40300000.0
"Imadol, Lalitpur",27500000.0,east,2.5,5.0,3.0,1060.9750000000001,20.0,6.0,1,0,0,0,29527777.777777776
"Bhaisepati, Lalitpur",59000000.0,west,2.5,4.0,4.0,1711.25,15.0,12.0,1,0,0,0,47632203.38983051
"Budhanilkantha, Kathmandu",36500000.0,east,2.5,6.0,3.0,1369.0,13.0,2.0,1,0,0,0,51359210.526315786
"Nayabazar, Kathmandu",27500000.0,east,3.0,8.0,3.0,1026.75,15.0,6.0,1,0,0,0,27500000.0
"Hattigaunda, Kathmandu",30000000.0,south-east,3.0,4.0,3.0,1369.0,13.0,2.0,0,0,0,0,42730769.23076923
"Kapan, Kathmandu",16500000.0,east,1.0,2.0,1.0,1026.75,12.0,9.0,1,0,0,0,27269230.769230768
"Pasikot, Kathmandu",23000000.0,west,2.5,5.0,3.0,1026.75,18.0,9.0,1,0,0,0,32693333.333333332
"Chunikhel, Kathmandu",16000000.0,east,2.5,4.0,4.0,1026.75,12.0,9.0,1,0,0,0,20000000.0
"Khusibu, Kathmandu",34000000.0,east,2.5,5.0,3.0,1060.9750000000001,15.0,9.0,1,0,1,1,60000000.0
"Khumaltar, Lalitpur",42500000.0,east,2.5,6.0,4.0,1437.45,20.0,9.0,0,0,0,0,44153846.15384615
"Imadol, Lalitpur",37500000.0,north,2.5,5.0,5.0,1369.0,13.0,6.0,1,0,0,0,29527777.777777776
"Koteshwor, Kathmandu",47000000.0,east,3.5,7.0,4.0,1437.45,25.0,3.0,0,0,0,0,41125000.0
"Dhapasi, Kathmandu",39900000.0,south,2.5,6.0,4.0,1369.0,15.0,12.0,1,0,0,0,38452173.91304348
"Makalbari, Kathmandu",37000000.0,north,2.5,5.0,3.0,2087.725,12.0,17.0,1,0,0,0,28750000.0
"Duwakot, Bhaktapur",32500000.0,south-west,3.0,5.0,4.0,1711.25,16.5,8.0,1,0,0,0,32500000.0
"Narayantar, Kathmandu",37500000.0,south-west,2.5,7.0,4.0,1095.2,16.0,6.0,0,0,1,0,33333333.333333332
"Imadol, Lalitpur",25000000.0,east,2.5,4.0,4.0,1026.75,20.0,12.0,1,0,0,0,29527777.777777776
"Imadol, Lalitpur",33000000.0,south-west,2.5,6.0,4.0,1095.2,20.5,12.0,1,0,0,0,29527777.777777776
"Bhangal , Kathmandu",27500000.0,west,2.5,4.0,4.0,1369.0,12.0,12.0,1,0,0,0,27633333.333333332
"Kharibot, Kathmandu",42500000.0,east,3.0,7.0,6.0,1711.25,16.0,10.0,0,0,0,0,31575000.0
"Dharmasthali, Kathmandu",21000000.0,north,2.0,4.0,2.0,1369.0,20.0,10.0,1,0,0,0,15666666.666666666
"Imadol, Lalitpur",42500000.0,south,2.5,5.0,4.0,1129.425,20.0,18.0,1,0,0,0,29527777.777777776
"Setipakha, Lalitpur",26500000.0,north-east,2.5,4.0,4.0,1060.9750000000001,13.0,18.0,1,0,0,0,25642857.14285714
"Bhaisepati, Lalitpur",70000000.0,west,3.5,4.0,5.0,2053.5,13.0,12.0,1,0,0,0,47632203.38983051
"Itahari, Sunsari",39000000.0,south,3.0,12.0,4.0,1369.0,32.0,13.0,0,0,0,0,39000000.0
"Ganesh Chowk, Kathmandu",41700000.0,west,2.5,4.0,5.0,1369.0,13.0,3.0,0,0,0,1,42962500.0
"Nakhipot, Lalitpur",39000000.0,east,2.5,6.0,5.0,1369.0,12.5,27.0,1,0,0,0,34208333.333333336
"Setipakha, Lalitpur",26500000.0,west,3.0,8.0,8.0,1369.0,13.0,12.0,0,0,1,1,25642857.14285714
"Imadol, Lalitpur",32500000.0,west,2.5,6.0,4.0,1369.0,15.0,13.0,1,0,0,0,29527777.777777776
"Imadol, Lalitpur",26500000.0,south,2.5,4.0,4.0,1060.9750000000001,20.0,21.0,1,0,0,0,29527777.777777776
"Tikathali, Lalitpur",16000000.0,north-east,1.0,2.0,1.0,1060.9750000000001,13.0,11.0,1,0,0,0,25147058.82352941
"Chapali, Kathmandu",27000000.0,east,3.5,6.0,4.0,787.175,13.0,3.0,1,0,0,1,33000000.0
"Mandikhatar, Kathmandu",39800000.0,east,2.5,7.0,5.0,1403.225,13.0,12.0,1,0,0,0,43173333.333333336
"Budhanilkantha, Kathmandu",43500000.0,west,2.5,5.0,5.0,1711.25,13.0,10.0,1,0,0,0,51359210.526315786
"Syuchatar, Kathmandu",23000000.0,north-west,3.0,4.0,2.0,1026.75,10.0,10.0,1,0,0,0,26500000.0
"Kapan, Kathmandu",35000000.0,north-west,2.5,12.0,4.0,2053.5,11.0,13.0,1,0,0,0,27269230.769230768
"Tikathali, Lalitpur",42500000.0,north,3.0,8.0,5.0,1437.45,13.0,3.0,1,0,0,0,25147058.82352941
"Imadol, Lalitpur",34500000.0,north,2.5,5.0,4.0,1403.225,13.0,3.0,1,0,0,0,29527777.777777776
"Imadol, Lalitpur",26500000.0,north,3.5,5.0,5.0,1026.75,13.0,6.0,1,0,0,0,29527777.777777776
"Nakhipot, Lalitpur",27000000.0,south,2.5,4.0,4.0,1095.2,15.0,10.0,1,0,0,0,34208333.333333336
"New Buspark, Kathmandu",40000000.0,west,2.5,6.0,4.0,2053.5,4.0,9.0,0,0,0,0,61500000.0
"Dhumbarahi, Kathmandu",55000000.0,north-west,3.5,8.0,7.0,1779.7,13.0,9.0,1,0,0,0,58000000.0
"Bansbari, Kathmandu",51000000.0,south,2.5,5.0,5.0,1437.45,12.0,12.0,1,0,0,0,55545454.54545455
"Bansbari, Kathmandu",52000000.0,south,2.5,4.0,5.0,1471.675,12.0,6.0,1,0,0,0,55545454.54545455
"Imadol, Lalitpur",31000000.0,east,3.5,5.0,3.0,1095.2,13.0,17.0,1,0,0,0,29527777.777777776
